Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DX-A3U9-01A-11R-A30C-07	0.0426782575683144	0	0	0.00406700915917024	0	0.215949312186978	0	0	0.0289138395737122	0	0.0476722747765455	0.0334027380131007	0.0148362041545436	0.146697871329518	0.0232899162555248	0.279405896644968	0	0	0.163086680337625	0	0	0	9999	0.0325974369612896	1.06905370853076
TCGA-DX-A6YT-01A-21R-A355-07	0.154936939988704	0	0	0	0	0.252725936526789	0	0	0.0445849615375345	0	0.0071978492394107	0.0553359169095191	0.0610611946423732	0	0.0144818170962945	0.327968099161484	0	0.00840137596626517	0.073305908931626	0	0	0	9999	0.0472544773921416	1.0614105863001
TCGA-FX-A8OO-01A-11R-A36F-07	0.102604818984885	0	0	0.00134192731289932	0	0.198233805464218	0	0	0.0019582759521703	0	0.0328471748964709	0.0136306587324214	0.0403851646654638	0.124314145910046	0	0.463245330743937	0	0	0.0214386973374882	0	0	0	9999	-0.0239646174919551	1.11226235280521
TCGA-X6-A8C7-01A-11R-A36F-07	0.0649615816017593	0	0	0.00896834784264031	0	0.0945596636388424	0	0	0.0476331056285395	0	0	0.036956530046948	0	0.263325096058696	0	0.15953259264119	0	0	0.324063082541384	0	0	0	9999	-0.00555615545661088	1.10765442918355
TCGA-SG-A6Z7-01A-12R-A32Q-07	0.0545873857827734	0	0	0	0	0.222931687049503	0	0	0.0250475929913837	0	0	0.0263503934154906	0.00436991454514421	0.385651591723352	0	0.191734955001839	0	0.0431724403008992	0.0461540391896146	0	0	0	9999	0.0651316092254675	1.08884079022065
TCGA-DX-A6B8-01A-11R-A30C-07	0.0264066494541435	0	0	0	0	0.300462600803308	0	0	0	0	0.0352253167044555	0.0136894108560135	0	0.315913991605665	0	0.267155765082135	0	0.00823806876071537	0.0329081967335634	0	0	0	9999	0.0335703659841942	1.09984755703194
TCGA-FX-A3RE-01A-11R-A22K-07	0.0631915229514236	0	0	0	0	0.180754789553536	0	0.0542732458508921	0.00150499427613139	0	0.0236105505589063	0.0342716874867773	0.0702501397028259	0.311422202621669	0	0.228499394378184	0	0	0.0322214726196537	0	0	0	9999	0.124080888950636	1.05076065600464
TCGA-DX-AB2X-01A-11R-A38C-07	0.0250791426718634	0	0	0.0319576446752262	0	0.05669357864125	0	0	0.0572994784873197	0	0.0042601756131403	0.00392887472182219	0.0499724898228127	0.330182484623234	0.00281996791364068	0.42645346637462	0	0	0.0113526964550706	0	0	0	9999	0.16246431005981	1.06406579823863
TCGA-QQ-A8VG-01A-11R-A37L-07	0.0437286499954428	0	0.00134297444124398	0.0891208163484113	0	0.0823723346206342	0	0.0200121797495564	0.023745519245929	0	0.0045485491486058	0	0.128434866109086	0.0944402532125777	0.00591972164650342	0.450060707584901	0	0.0288990686229741	0.027374359274134	0	0	0	9999	0.338288399206406	0.948329859386199
TCGA-JV-A5VF-01A-11R-A29R-07	0	0.0208782232474889	0	0	0	0.0238269518909023	0.0413440128206133	0.0295066265734351	0	0	0.0124323087152888	0	0	0.62955085083049	0	0.224103321857835	0	0	0.0183577040639466	0	0	0	9999	0.776238507946663	0.639036000816849
