Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DX-A6YT-01A-21R-A355-07,0.0543637644513955,0,0,0.0292662374551437,0,0.157671765561295,0,0,0.0280499518849585,0,0,0.0488701491772786,0.0493444062857674,0,0.0443983224375278,0.513421927251983,0,0.0362710698760721,0.0383424056185784,0,0,0,0,0.494573465267887,0.86980325789085
TCGA-FX-A8OO-01A-11R-A36F-07,0.103036523724444,0,0,0.00252897957288241,0,0.251802912407094,0,0.00743135762314485,0.0114509477753886,0,0.0542014060501572,0.0163381397997617,0.0362767668469576,0.0808462461355674,0.0193123362219655,0.414573636615901,0,0,0.00137491076942388,0,0.000825836457312542,0,0.01,0.210432473231457,1.00360978583754
TCGA-X6-A8C7-01A-11R-A36F-07,0,0.0557398261191189,0,0.00794586922179581,0,0.192603192731484,0,0.014114062207504,0.00246475253389801,0,0,0.049219635540635,0.0135862523989073,0.330196960445797,0,0.0801743853136627,0,0,0.253955063487196,0,0,0,0,0.296838470173878,0.969543125583369
TCGA-SG-A6Z7-01A-12R-A32Q-07,0.0725736935637358,0,0,0,0,0.286506957604214,0,0,0.0164819465073105,0,0,0.0380166639738116,0.0237262021885169,0.304821423836797,0,0.178740338805169,0,0.0288532334217424,0.0502795400987029,0,0,0,0,0.427035255733598,0.904658481893959
TCGA-DX-A6B8-01A-11R-A30C-07,0.0415300914804991,0,0,0.0130531748569225,0,0.305526018430884,0,0,0,0,0.0564702250183188,0.00625108968640588,0.0145355548189447,0.307745065213042,0.00152152475732987,0.215116646891453,0,0,0.0382506088462009,0,0,0,0,0.435023412441347,0.901249101802675
TCGA-FX-A3RE-01A-11R-A22K-07,0.122034027803535,0,0,0.00909197106391426,0,0.125264257665931,0,0.0424657788790336,0,0,0.00553577090423076,0.0129304447850851,0.0255493089246309,0.256981953581555,0.025476320713156,0.35569467161652,0,0,0.0126491480875484,0.00632634597486076,0,0,0,0.550464839663438,0.837323220039152
TCGA-DX-AB2X-01A-11R-A38C-07,0.0217560518935898,0,0,0.0310849632349406,0,0.160297662499023,0,0,0.0236451116116985,0,0.0108691988251992,0.0152272710315964,0.0971960169659871,0.252316509784943,0.00898678714234293,0.360063872018198,0,0,0.0185565549924818,0,0,0,0,0.659248548393492,0.77065490348553
TCGA-QQ-A8VG-01A-11R-A37L-07,0.0504786527578732,0,0,0.103088949987402,0,0.1112156194971,0.00188632709758999,0.00845790446423999,0.0167112711172318,0,0.0207725429544875,0,0.153344891105382,0.0676178034189761,0.0139107994468892,0.373267302831134,0,0.0536614963696756,0.0255864389520188,0,0,0,0,0.73850224863004,0.743056918880678
TCGA-JV-A5VF-01A-11R-A29R-07,0.00970822505874202,0.00750689727155899,0.00254985924428428,0,0,0.216486205182074,0.0160057202572383,0,0,0,0.037699658240303,0.000934976439682469,0.00978574705422695,0.416312209759543,0.00626439615652176,0.246842783302765,0,0,0.0299033220330602,0,0,0,0,0.739331846202385,0.703718917597893
TCGA-UE-A6QU-01A-12R-A32Q-07,0.0980264299167804,0,0.00227046998661877,0.246136399881057,0,0.181950148070889,0,0.0134834686925069,0.0192833665287823,0,0.0430359250715233,0.0108262264516901,0.02735460966453,0.0930919134811198,0.0722105838622186,0.192330458392284,0,0,0,0,0,0,0,0.690780995471455,0.758373973804524
TCGA-HB-A2OT-01A-11R-A21T-07,0.00378830421804005,0.00826502867999249,0.000461207817916688,0,0,0.132364764022705,0.0907810310160199,0,0,0,0.0447012969121357,0,8.02692864016513e-06,0.521374009338647,0.00182274623281522,0.180751452842578,0,0,0,0.0123950627490847,0,0.0032870692414255,0,0.777581627366425,0.658688499028771
TCGA-DX-A3LW-01A-21R-A21T-07,0.234382401748258,0,0.00352632642925657,0.00326347871960178,0,0.0804600481510603,0,0.00545170138060243,0.0198964674756381,0,0.0114554665040817,0.0186109971197573,0.0312333335865249,0,0.0478494968283951,0.4350289018899,0,0,0.108841380166924,0,0,0,0,0.473427518801705,0.880789858831182
TCGA-DX-A8BL-01A-11R-A41I-07,0.0925486266713184,0,0.0628949540707558,0.121780058971576,0,0.213807361412156,0,0.0172223459099242,0.108690251306506,0,0.0121677267764455,0.022289933976161,0.0520459354917316,0.0119718978620953,0.0815569578933949,0.160928007303712,0,0.00356202506697283,0.0385339172872518,0,0,0,0,0.318067531457743,0.954735970120989
TCGA-DX-A1KY-01A-11R-A24X-07,0.195815478193455,0,0,0,0,0.172672545218335,0.00885914060937952,0.00250962810374662,0.00639429712047883,0,0.0472248921397512,0,0.0499110919699061,0,0.0083855341071263,0.447724765328522,0,0.0251609813179647,0.0321417914305288,0,0.00138129607633506,0.00181855838447123,0.04,0.174818712071757,1.01664713957394
TCGA-KD-A5QU-01A-11R-A27Q-07,0.0428966968841726,0,0.00121041395194136,0.0768604873792003,0,0.285234970920585,0.010282257717579,0,0,0,0.0215928975538436,0,0.0153428131654329,0.120666617356404,0.0557013686242568,0.286998777978316,0,0,0.083212698468268,0,0,0,0,0.54717161101412,0.8461123774997
